66,Giubbotto Uomo Tinta Unita,Uomo,80.00,35
67,Camicetta Donna,Donna,29.99,50
68,Giacca Donna Casual,Donna,65.00,25
69,Pantaloni Uomo Inverno,Uomo,54.99,40
70,Giacca Uomo Softshell,Uomo,79.99,35
71,Camicia Donna Cotone,Donna,35.00,40
72,Bermuda Uomo,Uomo,24.99,60
73,Gilet Uomo,Uomo,49.99,20
74,T-shirt Donna Manica Corta,Donna,19.99,60
75,Jeans Donna Tinta Unita,Donna,39.99,45
76,Abito Bambino Cerimonia,Bambino,50.00,20
77,Giubbino Bambino Fodera Invernale,Bambino,55.00,15
78,Maglione Bambino Con Cappuccio,Bambino,25.99,40
79,Felpa Bambino Girocollo,Bambino,18.99,65
80,Camicia Donna Elegante,Donna,49.99,30
81,Jeans Bambino,Bambino,18.99,70
82,Giacca Uomo Outdoor,Uomo,60.00,30
83,Maglione Donna Lungo,Donna,74.99,25
84,Gonna Bambina,Bambino,29.99,50
85,T-shirt Uomo Sport,Uomo,22.99,55
86,Pantaloni Donna Stretch,Donna,38.99,60
87,Giubbotto Bambino Pelle,Bambino,65.00,30
88,Cappotto Donna Elegante,Donna,130.00,15
89,Cappello Uomo Invernale,Uomo,14.99,70
90,Jeans Bambino Slim,Bambino,22.99,50
91,Maglia Uomo Cotone,Uomo,27.99,35
92,Pantaloni Bambino Cotone,Bambino,16.99,65
93,Tostapane Inox,Casalinghi,29.99,40
94,Frullatore Elettrico,Casalinghi,39.99,35
95,Bollitore Elettrico,Casalinghi,24.99,50
96,Set di Posate 24 pezzi,Casalinghi,59.99,45
97,Pattumiera in Acciaio,Casalinghi,22.99,60
98,Set di Piatti in Porcellana,Casalinghi,79.99,30
99,Tavolo da Cucina in Legno,Casalinghi,129.99,10
100,Frigorifero Combinato,Casalinghi,499.99,5
101,Caffettiera Moka,Casalinghi,19.99,70
102,Macchina da Caffè Espresso,Casalinghi,89.99,20
103,Microonde 800W,Casalinghi,119.99,15
104,Asciugacapelli,Casalinghi,39.99,40
105,Piastra per Panini,Casalinghi,24.99,50
106,Scopa Elettrica Senza Fili,Casalinghi,99.99,25
107,Robot da Cucina Multifunzionale,Casalinghi,199.99,10
108,Grattugia Elettrica,Casalinghi,29.99,45
109,Set di Pentole in Acciaio,Casalinghi,149.99,20
110,Padella Antiaderente,Casalinghi,29.99,55
111,Friggitore ad Aria,Casalinghi,79.99,30
112,Bilancia da Cucina,Casalinghi,19.99,65
113,Set di Tazze da Caffè,Casalinghi,34.99,40
114,Frigo Bar,Casalinghi,199.99,15
115,Grinder per Caffè,Casalinghi,49.99,25
116,Piazza da Tavola in Ceramica,Casalinghi,59.99,50
117,Set di Bicchieri in Cristallo,Casalinghi,79.99,30
118,Cesto per Biancheria,Casalinghi,22.99,60
119,Lavatripe ad Alta Pressione,Casalinghi,169.99,8
120,Set di Asciugamani 4 pezzi,Casalinghi,19.99,70
121,Scaldavivande,Casalinghi,49.99,25
122,Cuscini Decorativi,Casalinghi,15.99,80
123,Lampada da Tavolo,Casalinghi,39.99,35
124,Tovaglia in Cotone,Casalinghi,12.99,90
125,Portaombrelli,Casalinghi,14.99,60
126,Orologio da Parete,Casalinghi,39.99,45
127,Cesto Organizzatore,Casalinghi,9.99,100
128,Stiratrice Verticale,Casalinghi,89.99,30
129,Coperchio per Pentola,Casalinghi,6.99,50
130,Panni Microfibra,Casalinghi,9.99,80
131,Termosifone Elettrico,Casalinghi,89.99,25
132,Carrello da Cucina,Casalinghi,69.99,40
133,Macchina per Popcorn,Casalinghi,39.99,30
134,Ventilatore a Torre,Casalinghi,49.99,50
135,Barattoli in Vetro,Casalinghi,14.99,60
136,Set di Contenitori Ermetici,Casalinghi,19.99,55
137,Lampada a LED da Tavolo,Casalinghi,29.99,70
138,Tappeto Antiscivolo,Casalinghi,24.99,65
139,Borsa Termica per Spesa,Casalinghi,12.99,80
140,Set di Bicchieri in Plastica,Casalinghi,7.99,90
141,Tavolo da Giardino,Casalinghi,199.99,10
142,Panca da Esterno,Casalinghi,149.99,12
143,Grill Elettrico,Casalinghi,69.99,30
144,Scopa a Vapore,Casalinghi,79.99,25
145,Set di Piatti in Melamina,Casalinghi,39.99,45
146,Ferro da Stiro a Vapore,Casalinghi,49.99,40
147,Rullo per Filo da Cucina,Casalinghi,19.99,60
148,Set di Vasi da Giardino,Casalinghi,29.99,50
149,Smartphone Android 64GB,Elettronica,199.99,30
150,Smartphone iPhone 13,Elettronica,899.99,15
151,Cuffie Bluetooth,Elettronica,49.99,50
152,Auricolari Wireless,Elettronica,29.99,70
153,Smartwatch Fitness,Elettronica,59.99,40
154,Caricatore Wireless,Elettronica,19.99,60
155,Power Bank 10000mAh,Elettronica,29.99,55
156,Televisore LED 50,Elettronica,399.99,20
157,TV 4K Smart 55,Elettronica,649.99,12
158,Ripetitore Wi-Fi,Elettronica,49.99,45
159,Router Wi-Fi 6,Elettronica,99.99,35
160,Tablet 10 Android,Elettronica,199.99,25
161,Tablet iPad 64GB,Elettronica,329.99,18
162,Laptop HP 15.6 i5,Elettronica,499.99,20
163,Laptop Dell 14 i7,Elettronica,799.99,12
164,PC Desktop Gaming,Elettronica,1199.99,8
165,Stampante Laser Wi-Fi,Elettronica,129.99,40
166,Scanner A4,Elettronica,89.99,50
167,Macbook Pro 13,Elettronica,1299.99,5
168,Mouse Ottico Wireless,Elettronica,19.99,60
